"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categories/10","url","categoryName"
"𝐂𝐚𝐫𝐥𝐚 𝐕𝐞𝐢𝐠𝐚 - 𝐀𝐝𝐯𝐨𝐠𝐚𝐝𝐚 𝐓𝐫𝐢𝐛𝐮𝐭𝐚𝐫𝐢𝐬𝐭𝐚 𝐧𝐨 𝐑𝐢𝐨 𝐝𝐞 𝐉𝐚𝐧𝐞𝐢𝐫𝐨","5","26","Av. Rio Branco, 131 - Sala 1703","Rio de Janeiro","Rio de Janeiro","BR",,"+55 21 99620-8990","Advogado tributarista",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=%F0%9D%90%82%F0%9D%90%9A%F0%9D%90%AB%F0%9D%90%A5%F0%9D%90%9A%20%F0%9D%90%95%F0%9D%90%9E%F0%9D%90%A2%F0%9D%90%A0%F0%9D%90%9A%20-%20%F0%9D%90%80%F0%9D%90%9D%F0%9D%90%AF%F0%9D%90%A8%F0%9D%90%A0%F0%9D%90%9A%F0%9D%90%9D%F0%9D%90%9A%20%F0%9D%90%93%F0%9D%90%AB%F0%9D%90%A2%F0%9D%90%9B%F0%9D%90%AE%F0%9D%90%AD%F0%9D%90%9A%F0%9D%90%AB%F0%9D%90%A2%F0%9D%90%AC%F0%9D%90%AD%F0%9D%90%9A%20%F0%9D%90%A7%F0%9D%90%A8%20%F0%9D%90%91%F0%9D%90%A2%F0%9D%90%A8%20%F0%9D%90%9D%F0%9D%90%9E%20%F0%9D%90%89%F0%9D%90%9A%F0%9D%90%A7%F0%9D%90%9E%F0%9D%90%A2%F0%9D%90%AB%F0%9D%90%A8&query_place_id=ChIJJyY8JcF_mQARYZfNEPOQn5M","Advogado tributarista"
"HERRERA E FARIA ADVOGADOS - FAMÍLIA (DIVÓRCIO, INVENTÁRIO), ISENÇÕES (PCD), CONTRATOS, IMOBILIÁRIO (USUCAPIÃO), INSS, TRAB.","5","13","R. Liberdade, 498","Bragança Paulista","São Paulo","BR",,"+55 11 97173-4080","Serviços jurídicos",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=HERRERA%20E%20FARIA%20ADVOGADOS%20-%20FAM%C3%8DLIA%20(DIV%C3%93RCIO%2C%20INVENT%C3%81RIO)%2C%20ISEN%C3%87%C3%95ES%20(PCD)%2C%20CONTRATOS%2C%20IMOBILI%C3%81RIO%20(USUCAPI%C3%83O)%2C%20INSS%2C%20TRAB.&query_place_id=ChIJkw_J1ZTJzpQRhHau4xcDZ10","Serviços jurídicos"
"ROLIM NASTRI ADVOCACIA","4.8","29","R. Expedicionários Itapetininganos, 1803","Itapetininga","São Paulo","BR",,"+55 15 3271-2942","Advogado","Serviços jurídicos",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ROLIM%20NASTRI%20ADVOCACIA&query_place_id=ChIJy25lC2PMxZQRy_L763IMaeg","Advogado"
"Caroline Suppioni - Advogada Atibaia","4.8","20","R. Castro Fafe, 526","Atibaia","São Paulo","BR",,"+55 11 96423-4186","Advogado de Direito de Família","Advogado contencioso","Pensão","Advogado(a) civil","Serviço de divórcio","Advogado de direitos da terceira idade","Advogado de planejamento de espólio","Advogado imobiliário","Advogado processual",,,"https://www.google.com/maps/search/?api=1&query=Caroline%20Suppioni%20-%20Advogada%20Atibaia&query_place_id=ChIJL-sK4bbDzpQRL9omLOJaZmk","Advogado de Direito de Família"
"OAB - 139ª Subseção de VALINHOS","4.1","50","Av. Joaquim Alves Corrêa, 3809","Valinhos","São Paulo","BR",,"+55 19 3871-0755","Advogado","Imobiliária",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=OAB%20-%20139%C2%AA%20Subse%C3%A7%C3%A3o%20de%20VALINHOS&query_place_id=ChIJ00KsT6PNyJQReSeR3zdnwfc","Advogado"
"Doutor Carlos Eduardo Viana Kortz","5","45","R. Cel. César Eugênio Piedade, 160 - 1º andar, sala 7","Itapetininga","São Paulo","BR",,"+55 15 99617-1479","Advogado previdenciário",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Doutor%20Carlos%20Eduardo%20Viana%20Kortz&query_place_id=ChIJnczktZ_NxZQREYXCYVEOLTc","Advogado previdenciário"
"Advogado em Florianópolis Ermeson Advogados","5","63","Av. Hercílio Luz, 639","Florianópolis","Santa Catarina","BR",,"+55 48 98832-5964","Advogado","Advogado criminal","Advogado de Direito de Família","Advogado de práticas gerais","Advogado imobiliário","Advogado processual",,,,,,"https://www.google.com/maps/search/?api=1&query=Advogado%20em%20Florian%C3%B3polis%20Ermeson%20Advogados&query_place_id=ChIJpX6Br_6BDQURHKnlH9y7a8Q","Advogado"
"Carnielli Palmezzano - Advogados em Valinhos","5","28","Av. dos Esportes, nº 542 - sala 110","Valinhos","São Paulo","BR",,"+55 19 99108-7874","Advogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Carnielli%20Palmezzano%20-%20Advogados%20em%20Valinhos&query_place_id=ChIJY593pdvNyJQR9q8dZMmI-0w","Advogado"
"Thiago Farias Advogado","5","444","Ângelo Dias Center - R. Ângelo Dias, 45 - sala 12","Blumenau","Santa Catarina","BR",,"+55 47 99229-2086","Serviços jurídicos","Advogado",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Thiago%20Farias%20Advogado&query_place_id=ChIJo-dSEawf35QRk7NAG4mNmkE","Serviços jurídicos"
"Dra Teresinha Ravena de Sousa - Advogada | Divórcios | Inventários | Direito Civil","5","8","Av. Joaquim Alves Corrêa, 4480","Valinhos","São Paulo","BR",,"+55 19 98177-0026","Advogado(a) civil",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Dra%20Teresinha%20Ravena%20de%20Sousa%20-%20Advogada%20%7C%20Div%C3%B3rcios%20%7C%20Invent%C3%A1rios%20%7C%20Direito%20Civil&query_place_id=ChIJ6TuWhpnNyJQRReLh_E0D1_8","Advogado(a) civil"
"Roseli Hanna - Advogada","5","77","R. Antônio Carlos, nº 196 - sala 41","Valinhos","São Paulo","BR",,"+55 19 99116-4333","Advogado","Advogado(a) civil","Advogado trabalhista","Escritório de advocacia","Advogado imobiliário",,,,,,,"https://www.google.com/maps/search/?api=1&query=Roseli%20Hanna%20-%20Advogada&query_place_id=ChIJ6cA5Zj_NyJQRwnmWTQLV5wU","Advogado"
"Rosely Fernandes - Advocacia Civil e Previdenciária (INSS)","5","76","R. Agostinho Capovila, 69","Valinhos","São Paulo","BR",,"+55 19 99332-6670","Advogado previdenciário","Advogado(a) civil","Serviços jurídicos","Previdência Social","Consultor de aposentadoria","Escritório da Previdência Social",,,,,,"https://www.google.com/maps/search/?api=1&query=Rosely%20Fernandes%20-%20Advocacia%20Civil%20e%20Previdenci%C3%A1ria%20(INSS)&query_place_id=ChIJ3e_Aj4DNyJQR35us51V12Dw","Advogado previdenciário"
"Felipe Faria - Advogado Atibaia","5","24","R. Castro Fafe, 526","Atibaia","São Paulo","BR",,"+55 11 99830-5797","Advogado","Serviços jurídicos",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Felipe%20Faria%20-%20Advogado%20Atibaia&query_place_id=ChIJKeDhok7BzpQRthPzLkzdc6w","Advogado"
"OAB - 166ª Subseção de VINHEDO","4.2","42","Av. Brasil, 669","Vinhedo","São Paulo","BR",,"+55 19 99628-9427","Advogado","Imobiliária",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=OAB%20-%20166%C2%AA%20Subse%C3%A7%C3%A3o%20de%20VINHEDO&query_place_id=ChIJq0DVlKMyz5QRPj10ZWmPgyI","Advogado"
"Ricardo Toledo Sociedade Individual de Advocacia","5","136","Edifício Anhumas - Av. Campos Sales, 890 - 15° andar, sala 1505","Campinas","São Paulo","BR",,"+55 19 98907-7207","Serviços jurídicos",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ricardo%20Toledo%20Sociedade%20Individual%20de%20Advocacia&query_place_id=ChIJLbJUFBjNyJQRltX2DbpE9l8","Serviços jurídicos"
"De Lucca Sociedade de Advogados","4.5","4","R. da Formiga, Jardim","Vinhedo","São Paulo","BR",,"+55 19 3876-4400","Advogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=De%20Lucca%20Sociedade%20de%20Advogados&query_place_id=ChIJi0c5Oc8zz5QRBMWxG-9ECfU","Advogado"
"Danielli Souza | Advogada de Direito Digital","5","14","Av. Brasília, 268","Paulínia","São Paulo","BR",,"","Advogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Danielli%20Souza%20%7C%20Advogada%20de%20Direito%20Digital&query_place_id=ChIJGev0yqWVyJQRJEU2hGXdkGo","Advogado"
"Advogado Vinhedo Francisco - Advogado Familiar","5","2","R. Nicolau Von Zuben, 550","Vinhedo","São Paulo","BR",,"+55 19 99667-7927","Advogado(a) civil",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Advogado%20Vinhedo%20Francisco%20-%20Advogado%20Familiar&query_place_id=ChIJ85b6ik0zz5QRHdcJf6wXwTY","Advogado(a) civil"
"OAB - 233ª Subseção de PAULÍNIA","4.3","53","Av. Brasília, 268","Paulínia","São Paulo","BR",,"+55 19 3874-3336","Advogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=OAB%20-%20233%C2%AA%20Subse%C3%A7%C3%A3o%20de%20PAUL%C3%8DNIA&query_place_id=ChIJ-U5xA16VyJQRe7NmBuaxnJc","Advogado"
"Advocacia Alencar & Bolonhezi","5","60","Av. José Paulino, 1040 - sala 01","Paulínia","São Paulo","BR",,"+55 19 98732-5832","Advogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Advocacia%20Alencar%20%26%20Bolonhezi&query_place_id=ChIJd3tzmfSVyJQRzN4r0Da6b98","Advogado"
"Luiza Falcão Advogada - Bragança Paulista","5","34","Condomínio Empresarial Jaguari - Av. Marcelo Stefani, 15 - módulo 143, 2º andar, sala 302","Bragança Paulista","São Paulo","BR",,"+55 11 99587-1237","Advogado","Advogado administrativo","Advogado(a) civil","Advogado imobiliário",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Luiza%20Falc%C3%A3o%20Advogada%20-%20Bragan%C3%A7a%20Paulista&query_place_id=ChIJEw8hBKfJzpQR8kxzH9Hc9IE","Advogado"
"Patrícia Monteiro - Advogada Bragança","5","71","ed. New York - R. Cel. João Leme, 460 - sala 907","Bragança Paulista","São Paulo","BR",,"+55 11 99772-7040","Serviços jurídicos","Advogado contencioso","Advogado(a) civil","Advogado especialista em divórcios","Advogado de imigração","Advogado trabalhista","Advogado","Advogado especialista em direito médico","Advogado previdenciário","Advogado processual",,"https://www.google.com/maps/search/?api=1&query=Patr%C3%ADcia%20Monteiro%20-%20Advogada%20Bragan%C3%A7a&query_place_id=ChIJbVZ7k2DJzpQRX8mpCnvRPOA","Serviços jurídicos"
"Caroline Suppioni - Advogada Bragança Paulista","4.9","44","R. Cel. João Leme, 688","Bragança Paulista","São Paulo","BR",,"+55 11 96423-4186","Advogado","Advogado contencioso","Advogado(a) civil","Advogado especialista em divórcios","Serviço de divórcio","Advogado de direitos da terceira idade","Advogado de planejamento de espólio","Advogado de Direito de Família","Advogado imobiliário","Advogado processual",,"https://www.google.com/maps/search/?api=1&query=Caroline%20Suppioni%20-%20Advogada%20Bragan%C3%A7a%20Paulista&query_place_id=ChIJQUzRC6fJzpQRUhyK9U3p10s","Advogado"
"Cauê Scapini | Advogado","5","15","Av. Brasil, 669","Vinhedo","São Paulo","BR",,"+55 19 99478-8683","Advogado(a) civil","Advogado processual",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cau%C3%AA%20Scapini%20%7C%20Advogado&query_place_id=ChIJvVvFiFNiZEoRr9La84pqpas","Advogado(a) civil"
"Advogado Nádia Mendes | Trabalhista e Previdenciário - Atibaia","5","123","Praça Pedro de Toledo, 74","Atibaia","São Paulo","BR",,"+55 11 94122-2308","Advogado trabalhista","Pensão","Advogado(a) civil","Advogado","Assistência jurídica","Advogado previdenciário",,,,,,"https://www.google.com/maps/search/?api=1&query=Advogado%20N%C3%A1dia%20Mendes%20%7C%20Trabalhista%20e%20Previdenci%C3%A1rio%20-%20Atibaia&query_place_id=ChIJmek5LxHJzpQRJouPwPBx58E","Advogado trabalhista"
"Felipe Faria - Advogado","5","38","R. José Mathias Farhat Sobrinho, 11 - sala 02","Bragança Paulista","São Paulo","BR",,"+55 11 99830-5797","Advogado imobiliário","Advogado(a) empresarial","Advogado(a) civil","Serviços jurídicos","Tabelião","Cartório de Registro de Imóveis",,,,,,"https://www.google.com/maps/search/?api=1&query=Felipe%20Faria%20-%20Advogado&query_place_id=ChIJ0XU-hrXJzpQRyVcO-kUtkdM","Advogado imobiliário"
"Régis Fernandes Advocacia","5","70","R. Dom Aguirre, 267","Bragança Paulista","São Paulo","BR",,"","Advogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=R%C3%A9gis%20Fernandes%20Advocacia&query_place_id=ChIJEVd366_JzpQRSuv3hVLFSB4","Advogado"
"Pimenta e Fonseca Advogados Associados","5","46","R. Dr. Souza Alves, 384 - sala 107","Taubaté","São Paulo","BR",,"+55 12 99720-4077","Advogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pimenta%20e%20Fonseca%20Advogados%20Associados&query_place_id=ChIJQ9j2KAD5zJQRgf_fwdJXxbI","Advogado"
"Advocacia Bruna Carvalho","5","24","R. Jacques Felix, 435 - Sala 302","Taubaté","São Paulo","BR",,"+55 12 98197-2585","Advogado(a) civil",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Advocacia%20Bruna%20Carvalho&query_place_id=ChIJy12aBJX5zJQRYvS7DmWwroA","Advogado(a) civil"
"Vitor Yuji Fujihara - Advogado","5","82","R. Visc. do Rio Branco, 122","Atibaia","São Paulo","BR",,"+55 11 99691-1616","Advogado","Advogado(a) civil","Advogado trabalhista","Advogado previdenciário",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Vitor%20Yuji%20Fujihara%20-%20Advogado&query_place_id=ChIJ3UnQbyPBzpQRJSpEbuIlqq4","Advogado"
"Escola da Bíblia","5","1","Av. Brasília, 272 - 1 - Jardim","Paulínia","São Paulo","BR",,"+55 19 98742-6931","Instituição religiosa",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Escola%20da%20B%C3%ADblia&query_place_id=ChIJI9AHfmCVyJQRZy5usfc4AbQ","Instituição religiosa"
"Emerson Clayton advocacia","5","107","R. Barão da Pedra Negra, 365","Taubaté","São Paulo","BR",,"+55 12 98175-7757","Serviços jurídicos","Advogado(a) civil","Advogado trabalhista",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Emerson%20Clayton%20advocacia&query_place_id=ChIJYfM_2Wz5zJQRfXHMkRGRT9o","Serviços jurídicos"
"SHAYDA DAHER - ADVOGADA","4.9","135","R. Visc. do Rio Branco, 627 - Salas 10/11","Taubaté","São Paulo","BR",,"","Serviços jurídicos","Complexo de condomínio","Advogado de planejamento de espólio","Advogado de Direito de Família","Advogado trabalhista","Advogado imobiliário","Advogado previdenciário",,,,,"https://www.google.com/maps/search/?api=1&query=SHAYDA%20DAHER%20-%20ADVOGADA&query_place_id=ChIJL8y9hgT5zJQROxPK6yoGm-s","Serviços jurídicos"
"Ruback Advogados Associados","4.6","222","R. Dom André Arco-Verde, 346","Taubaté","São Paulo","BR",,"+55 12 3625-2310","Serviços jurídicos",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ruback%20Advogados%20Associados&query_place_id=ChIJBSSbqnL5zJQRehoFUkyLem8","Serviços jurídicos"
"CONTESINI E ADVOGADOS ASSOCIADOS","4.7","47","Av. Nove de Julho, 216","Atibaia","São Paulo","BR",,"+55 11 4411-1290","Serviços jurídicos",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CONTESINI%20E%20ADVOGADOS%20ASSOCIADOS&query_place_id=ChIJhfGStt3AzpQRVW6trChmC_0","Serviços jurídicos"
"ADVOGADA GABRIELLE SILVA CUNHA CAMPOS EM TAUBATÉ E REGIÃO","5","10","Rua Quatro de Março, 441 - Centro, Taubaté - SP, CEP:","Taubaté","SP","BR",,"+55 31 97357-0629","Advogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ADVOGADA%20GABRIELLE%20SILVA%20CUNHA%20CAMPOS%20EM%20TAUBAT%C3%89%20E%20REGI%C3%83O&query_place_id=ChIJRSBEG3X5zJQRz5lRYu4i-oI","Advogado"
"Advogado Dr. Douglas Bertoldo Taubaté Tremembé Pinda Caçapava São José dos Campos","5","76","Edifício The ONE - Av. Itália, 928 - sala 1603","Taubaté","São Paulo","BR",,"+55 12 99760-2110","Advogado(a) civil","Advogado especialista em divórcios","Advogado","Advogado imobiliário","Advogado processual",,,,,,,"https://www.google.com/maps/search/?api=1&query=Advogado%20Dr.%20Douglas%20Bertoldo%20Taubat%C3%A9%20Trememb%C3%A9%20Pinda%20Ca%C3%A7apava%20S%C3%A3o%20Jos%C3%A9%20dos%20Campos&query_place_id=ChIJmZaa4pD5zJQR3UViT3HDndU","Advogado(a) civil"
"Pereira e Rodrigues Advocacia","4.8","179","R. Dr. Virgílio de Rezende, 1320","Itapetininga","São Paulo","BR",,"+55 15 99658-1813","Serviços jurídicos",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pereira%20e%20Rodrigues%20Advocacia&query_place_id=ChIJOQlzqmPNxZQR3Gts7JEWsig","Serviços jurídicos"
"Muta Advogados Especialistas - Atendimento em todas as áreas do Direito","5","242","ESPECIALISTAS HÁ 30 ANOS - R. Visc. do Rio Branco, 44 - sala 06","Taubaté","São Paulo","BR",,"+55 12 99184-4481","Advogado","Advogado(a) civil","Advogado trabalhista","Escritório de advocacia","Serviços jurídicos","Advogado previdenciário",,,,,,"https://www.google.com/maps/search/?api=1&query=Muta%20Advogados%20Especialistas%20-%20Atendimento%20em%20todas%20as%20%C3%A1reas%20do%20Direito&query_place_id=ChIJ4xGFvUv5zJQR93NhR7_aIHM","Advogado"
"Adolfo Advogado","4.9","84","R. Doze de Outubro, 396","Valinhos","São Paulo","BR",,"+55 19 98315-5290","Advogado trabalhista",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Adolfo%20Advogado&query_place_id=ChIJaVMcR5HNyJQRYq3fwT5Uo0c","Advogado trabalhista"
"Silveira & Alexandrino Advogados","5","72","Edifício Dourados - Av. Nações Unidas, 2390 - Sala 1504","Novo Hamburgo","Rio Grande do Sul","BR",,"+55 51 99260-9779","Advogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Silveira%20%26%20Alexandrino%20Advogados&query_place_id=ChIJb29LuWxpGZURPPbzFifEyr4","Advogado"
"OAP Advocacia","4.9","62","R. 2550, 1114 - Sala 1","Balneário Camboriú","Santa Catarina","BR",,"+55 47 99928-9602","Advogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=OAP%20Advocacia&query_place_id=ChIJYRbZJte32JQRcSDF4bhuWYU","Advogado"
"Clarisete Dutra Advocacia Previdenciária e Trabalhista","4.9","46","R. Bento Gonçalves, 3344","Novo Hamburgo","Rio Grande do Sul","BR",,"","Serviços jurídicos",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Clarisete%20Dutra%20Advocacia%20Previdenci%C3%A1ria%20e%20Trabalhista&query_place_id=ChIJO4rNRaRDGZURJ5A4BXntsxA","Serviços jurídicos"
"Escritório Fossá Advogados","5","148","Av. Fernando Machado, 310 - Gl. 101","Chapecó","Santa Catarina","BR",,"+55 49 98409-3939","Advogado de práticas gerais","Advogado administrativo","Advogado(a) civil","Advogado criminal","Advogado trabalhista","Advogado de Direito de Família","Advogado imobiliário","Advogado previdenciário","Advogado tributarista","Advogado processual",,"https://www.google.com/maps/search/?api=1&query=Escrit%C3%B3rio%20Foss%C3%A1%20Advogados&query_place_id=ChIJ5SosVVW35JQRBqjBLpza4tc","Advogado de práticas gerais"
"Rosa Ribas Marinho","4.9","76","Sede OAB/BC - R. 916, 612","Balneário Camboriú","Santa Catarina","BR",,"+55 47 99965-5844","Advogado de Direito de Família",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rosa%20Ribas%20Marinho&query_place_id=ChIJ1___9wLK2JQRpW-cXJeB74w","Advogado de Direito de Família"
"Ramos Advogados Associados - Novo Hamburgo","5","19","Av. Pedro Adams Filho, 5114 - 1001","Novo Hamburgo","Rio Grande do Sul","BR",,"+55 51 98422-1193","Advogado trabalhista","Advogado de falência","Advogado(a) civil","Advogado especialista em divórcios","Advogado de seguros","Advogado","Serviços jurídicos","Advogado imobiliário","Advogado previdenciário","Advogado processual",,"https://www.google.com/maps/search/?api=1&query=Ramos%20Advogados%20Associados%20-%20Novo%20Hamburgo&query_place_id=ChIJF5KbklhDGZUR4KcbK39lOoA","Advogado trabalhista"
"Daniel Solha Advogado - Especializado em Direito de Família, Civil, Empresarial e Trânsito","5","78","Av. Cassiano Ricardo, 601, sala 123, Jardim Aquarius","São José dos Campos","SP","BR",,"+55 12 98112-4694","Advogado","Advogado administrativo","Advogado de falência","Advogado(a) civil","Advogado de seguros","Escritório de advocacia","Serviços jurídicos","Advogado de patentes","Advogado imobiliário","Advogado processual",,"https://www.google.com/maps/search/?api=1&query=Daniel%20Solha%20Advogado%20-%20Especializado%20em%20Direito%20de%20Fam%C3%ADlia%2C%20Civil%2C%20Empresarial%20e%20Tr%C3%A2nsito&query_place_id=ChIJnY3mxRhKzJQR6SQF0PUw5Mk","Advogado"
"Advogada Especialista em Inventários e Planejamento Sucessório","5","105","Edifício Empresarial Atlântico - Rua Juiz David Barrilli, 304","São José dos Campos","São Paulo","BR",,"+55 12 99768-1554","Advogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Advogada%20Especialista%20em%20Invent%C3%A1rios%20e%20Planejamento%20Sucess%C3%B3rio&query_place_id=ChIJI3GCi8A1zJQRMbrhupMhOsw","Advogado"
"Vieira Bissiatto Advocacia","4.9","102","Rua Riachuelo, 460 Edifício Trade Tower, Sala 1007 - Décimo Andar","Sorocaba","SP","BR",,"+55 15 3042-1285","Serviços jurídicos","Advogado(a) civil","Advogado especialista em divórcios","Advogado de Direito de Família","Advogado trabalhista","Advogado","Advogado previdenciário",,,,,"https://www.google.com/maps/search/?api=1&query=Vieira%20Bissiatto%20Advocacia&query_place_id=ChIJ04m4z5iLxZQRTPROEbaI7rg","Serviços jurídicos"
"Montroni Advogados Itajaí","4.8","25","R. Karl Richard Breitenbauch, n. 110","Itajaí","Santa Catarina","BR",,"+55 47 3011-3132","Serviços jurídicos",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Montroni%20Advogados%20Itaja%C3%AD&query_place_id=ChIJvxpcRzLN2JQRBH7eqkgL7Xg","Serviços jurídicos"
"Nogueira Advogados","5","22","torre A - R. Dr. Orlando Feirabend Filho, 230 - sala 1813","São José dos Campos","São Paulo","BR",,"+55 12 99102-4168","Advogado",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nogueira%20Advogados&query_place_id=ChIJ16E2PN41zJQR8zRekB5fAKQ","Advogado"
